PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Garlic,1.19,3,3.57
Eggplant,2.32,16.8,38.98
Green beans,2.52,30.700000000000003,77.36
Green peppers,1.89,30.5,57.65
Cherries,9.5,15.600000000000001,148.2
Butternut squash,1.28,21.5,27.52
Lemon,1.29,5.6000000000000005,7.22
Tomatoes,3.16,3,9.48
Potatoes,0.86,8.5,7.31
Orange,1.09,6.5,7.09
Grapes,2.63,38.900000000000006,102.31
Kale,5.02,38.900000000000006,195.28
Bok choy,1.42,6.2,8.8
Green beans,2.52,38.2,96.26
Lettuce,1.88,34,63.92
Asparagus,2.49,27.3,67.98
Green cabbage,0.8,5.6000000000000005,4.48
Orange,1.09,5,5.45
Coconuts,1.18,13.5,15.93
Garlic,1.19,4.9,5.83
Fava beans,2.69,16.900000000000002,45.46
Apricots,3.71,7,25.97
Cucumber,1.07,28.8,30.82
Eggplant,2.32,31.3,72.62
Green peppers,1.89,30.5,57.65
Kale,5.02,34.800000000000004,174.7
Garlic,1.19,1.3,1.55
Apricots,3.71,5,18.55
Bananas,0.86,12.8,11.01
Apples,1.88,35,65.8
Grapefruit,0.76,28.1,21.36
Butternut squash,1.28,18.400000000000002,23.55
Kale,5.02,34.300000000000004,172.19
Grapes,2.63,24.1,63.38
Orange,1.09,10.5,11.45
Lemon,1.29,10.5,13.55
Brussels sprouts,1.65,3.2,5.28
Apricots,3.71,33.1,122.8
Eggplant,2.32,24.3,56.38
Beets,1.51,19.700000000000003,29.75
Apples,1.88,30.400000000000002,57.15
Carrots,1.26,23.1,29.11
Apricots,3.71,11.9,44.15
Okra,2.26,4.6000000000000005,10.4
Lemon,1.29,30,38.7
Red onion,0.78,10.3,8.03
Kale,5.02,31,155.62
Watermelon,0.66,6,3.96
Fava beans,2.69,28.400000000000002,76.4
Lemon,1.29,30.200000000000003,38.96
Carrots,1.26,27.200000000000003,34.27
Eggplant,2.32,2.8000000000000003,6.5
Coconuts,1.18,36.6,43.19
Asparagus,2.49,29.6,73.7
Tomatoes,3.16,26.3,83.11
Garlic,1.19,19.1,22.73
Apples,1.88,39.400000000000006,74.07
Bok choy,1.42,6.800000000000001,9.66
Strawberries,4.4,5.7,25.08
Strawberries,4.4,24.200000000000003,106.48
Yellow peppers,2.87,36.4,104.47
Ginger,5.13,27.200000000000003,139.54
Lemon,1.29,13.200000000000001,17.03
Green peppers,1.89,30.200000000000003,57.08
Yellow peppers,2.87,0.6000000000000001,1.72
Spinach,4.12,5.800000000000001,23.9
Eggplant,2.32,15.100000000000001,35.03
Tomatoes,3.16,24.1,76.16
Lemon,1.29,24.700000000000003,31.86
Butternut squash,1.28,23,29.44
Bananas,0.86,12.3,10.58
Celery,3.07,23.1,70.92
Kale,5.02,23.8,119.48
Asparagus,2.49,16.1,40.09
Okra,2.26,10.200000000000001,23.05
Yellow peppers,2.87,11.600000000000001,33.29
Asparagus,2.49,11.600000000000001,28.88
Ginger,5.13,4.800000000000001,24.62
Beets,1.51,26.6,40.17
Lemon,1.29,21.3,27.48
Garlic,1.19,37.800000000000004,44.98
Coconuts,1.18,36.4,42.95
Celery,3.07,15.3,46.97
Beets,1.51,4,6.04
Fava beans,2.69,19.3,51.92
Asparagus,2.49,1.6,3.98
Daikon,1.4,34.9,48.86
Apples,1.88,3.6,6.77
Okra,2.26,2.7,6.1
Butternut squash,1.28,1.5,1.92
Green cabbage,0.8,11.5,9.2
Lime,1.06,13.200000000000001,13.99
Papaya,1.34,32.2,43.15
Grapefruit,0.76,5.4,4.1
Lettuce,1.88,23.5,44.18
Green peppers,1.89,22,41.58
Kale,5.02,29.700000000000003,149.09
Ginger,5.13,10.200000000000001,52.33
Grapes,2.63,13.100000000000001,34.45
Corn,1.07,27.5,29.43
Lettuce,1.88,27.700000000000003,52.08
Kale,5.02,31.6,158.63
Garlic,1.19,31.3,37.25
Bok choy,1.42,27.200000000000003,38.62
Red onion,0.78,25.8,20.12
Apples,1.88,3.8000000000000003,7.14
Papaya,1.34,25.8,34.57
Grapes,2.63,11.4,29.98
Celery,3.07,39.1,120.04
Okra,2.26,29.200000000000003,65.99
Celery,3.07,15.600000000000001,47.89
Apricots,3.71,14.600000000000001,54.17
Yellow peppers,2.87,25.200000000000003,72.32
Spinach,4.12,23.6,97.23
Grapefruit,0.76,39.800000000000004,30.25
Spinach,4.12,11.5,47.38
Okra,2.26,10.5,23.73
Corn,1.07,15.8,16.91
Bok choy,1.42,15.5,22.01
Beets,1.51,28.200000000000003,42.58
Green cabbage,0.8,8.700000000000001,6.96
Potatoes,0.86,27.400000000000002,23.56
Okra,2.26,36.300000000000004,82.04
Bok choy,1.42,20.8,29.54
Watermelon,0.66,15,9.9
Lettuce,1.88,29.200000000000003,54.9
Corn,1.07,4.2,4.49
Ginger,5.13,27.400000000000002,140.56
Parsnips,2.27,37.800000000000004,85.81
Celery,3.07,33.4,102.54
Coconuts,1.18,10.100000000000001,11.92
Lime,1.06,23.8,25.23
Red onion,0.78,30,23.4
Red onion,0.78,9,7.02
Corn,1.07,38,40.66
Grapefruit,0.76,18.8,14.29
Ginger,5.13,9.5,48.74
Celery,3.07,21.900000000000002,67.23
Spinach,4.12,14.8,60.98
Cucumber,1.07,30.900000000000002,33.06
Corn,1.07,35.800000000000004,38.31
Potatoes,0.86,4.7,4.04
Green peppers,1.89,26,49.14
Grapefruit,0.76,30.1,22.88
Green cabbage,0.8,14.8,11.84
Avocados,3.23,39.400000000000006,127.26
Green peppers,1.89,32.6,61.61
Tomatoes,3.16,29.900000000000002,94.48
Papaya,1.34,23.1,30.95
Okra,2.26,12.5,28.25
Kale,5.02,38.400000000000006,192.77
Grapes,2.63,24.6,64.7
Potatoes,0.86,27.3,23.48
Yellow peppers,2.87,27.700000000000003,79.5
Watermelon,0.66,9.200000000000001,6.07
Strawberries,4.4,22,96.8
Ginger,5.13,4.4,22.57
Butternut squash,1.28,7.5,9.6
Parsnips,2.27,8.5,19.3
Green cabbage,0.8,26.8,21.44
Cucumber,1.07,27.3,29.21
Green cabbage,0.8,19.900000000000002,15.92
Apricots,3.71,24.700000000000003,91.64
Brussels sprouts,1.65,11.4,18.81
Parsnips,2.27,3.5,7.95
Coconuts,1.18,3.4000000000000004,4.01
Potatoes,0.86,9,7.74
Papaya,1.34,8.700000000000001,11.66
Green cabbage,0.8,6,4.8
Avocados,3.23,13,41.99
Asparagus,2.49,27.6,68.72
Spinach,4.12,33.2,136.78
Green peppers,1.89,28.6,54.05
Grapes,2.63,19.1,50.23
Daikon,1.4,15.5,21.7
Lettuce,1.88,21.8,40.98
Bananas,0.86,30.900000000000002,26.57
Strawberries,4.4,38.1,167.64
Avocados,3.23,33.7,108.85
Carrots,1.26,18.6,23.44
Avocados,3.23,28.900000000000002,93.35
Asparagus,2.49,12,29.88
Garlic,1.19,15,17.85
Red onion,0.78,34.6,26.99
Grapes,2.63,34.2,89.95
Grapes,2.63,8.6,22.62
Eggplant,2.32,11.100000000000001,25.75
Ginger,5.13,28,143.64
Cherries,9.5,5.6000000000000005,53.2
Parsnips,2.27,20.700000000000003,46.99
Okra,2.26,31,70.06
Okra,2.26,39.5,89.27
Lettuce,1.88,19.400000000000002,36.47
Garlic,1.19,16.8,19.99
Coconuts,1.18,1.6,1.89
Apricots,3.71,30.900000000000002,114.64
Lemon,1.29,23.900000000000002,30.83
Daikon,1.4,14.8,20.72
Butternut squash,1.28,32.1,41.09
Green peppers,1.89,36,68.04
Eggplant,2.32,37.300000000000004,86.54
Papaya,1.34,32.4,43.42
Beets,1.51,28.1,42.43
Coconuts,1.18,19.8,23.36
Apricots,3.71,3.1,11.5
Orange,1.09,1.2000000000000002,1.31
Parsnips,2.27,0.8,1.82
Parsnips,2.27,33.300000000000004,75.59
Brussels sprouts,1.65,29.400000000000002,48.51
Bananas,0.86,28.1,24.17
Tomatoes,3.16,25.400000000000002,80.26
Cherries,9.5,30,285
Cucumber,1.07,29.1,31.14
Daikon,1.4,2.6,3.64
Green beans,2.52,32.7,82.4
Brussels sprouts,1.65,6.7,11.06
Eggplant,2.32,5.1000000000000005,11.83
Apricots,3.71,27.700000000000003,102.77
Papaya,1.34,11.5,15.41
Apples,1.88,6.2,11.66
Parsnips,2.27,24.8,56.3
Garlic,1.19,34.2,40.7
Green beans,2.52,28.700000000000003,72.32
Corn,1.07,36.1,38.63
Apples,1.88,35.300000000000004,66.36
Carrots,1.26,5.800000000000001,7.31
Fava beans,2.69,29.200000000000003,78.55
Daikon,1.4,17.8,24.92
Orange,1.09,19.900000000000002,21.69
Ginger,5.13,36.4,186.73
Okra,2.26,5.800000000000001,13.11
Green peppers,1.89,18.900000000000002,35.72
Spinach,4.12,37.4,154.09
Butternut squash,1.28,38,48.64
Bok choy,1.42,0.5,0.71
Red onion,0.78,13.600000000000001,10.61
Strawberries,4.4,2.7,11.88
Grapefruit,0.76,15.100000000000001,11.48
Green cabbage,0.8,13.700000000000001,10.96
Brussels sprouts,1.65,18.7,30.86
Carrots,1.26,0.7000000000000001,0.88
Celery,3.07,5.300000000000001,16.27
Tomatoes,3.16,26.900000000000002,85
Butternut squash,1.28,3.9000000000000004,4.99
Yellow peppers,2.87,7.2,20.66
Yellow peppers,2.87,23.700000000000003,68.02
Grapefruit,0.76,0.8,0.61
Grapefruit,0.76,10.200000000000001,7.75
Grapefruit,0.76,17.3,13.15
Lime,1.06,36.2,38.37
Ginger,5.13,28.3,145.18
Orange,1.09,23.3,25.4
Eggplant,2.32,32.2,74.7
Lettuce,1.88,33.4,62.79
Watermelon,0.66,32.7,21.58
Brussels sprouts,1.65,22.1,36.47
Beets,1.51,21.700000000000003,32.77
Orange,1.09,27.6,30.08
Asparagus,2.49,17.3,43.08
Red onion,0.78,7.800000000000001,6.08
Brussels sprouts,1.65,8.1,13.37
Cucumber,1.07,32.1,34.35
Green peppers,1.89,13.5,25.52
Grapefruit,0.76,29.5,22.42
Watermelon,0.66,14,9.24
Corn,1.07,7.6000000000000005,8.13
Yellow peppers,2.87,31.200000000000003,89.54
Yellow peppers,2.87,25.1,72.04
Celery,3.07,15.8,48.51
Celery,3.07,39.7,121.88
Spinach,4.12,19.200000000000003,79.1
Red onion,0.78,9.3,7.25
Eggplant,2.32,25.5,59.16
Corn,1.07,38.900000000000006,41.62
Beets,1.51,4.4,6.64
Garlic,1.19,33.300000000000004,39.63
Asparagus,2.49,26.5,65.99
Kale,5.02,11,55.22
Okra,2.26,18.400000000000002,41.58
Eggplant,2.32,6.5,15.08
Lime,1.06,23.8,25.23
Okra,2.26,13.700000000000001,30.96
Tomatoes,3.16,36.6,115.66
Papaya,1.34,36.7,49.18
Butternut squash,1.28,20.6,26.37
Garlic,1.19,27,32.13
Strawberries,4.4,10.200000000000001,44.88
Lime,1.06,37,39.22
Green peppers,1.89,30.400000000000002,57.46
Carrots,1.26,6.1000000000000005,7.69
Ginger,5.13,39.6,203.15
Spinach,4.12,12.200000000000001,50.26
Avocados,3.23,39.7,128.23
Papaya,1.34,39.1,52.39
Strawberries,4.4,7.2,31.68
Grapes,2.63,7.7,20.25
Kale,5.02,10.5,52.71
Lime,1.06,17.3,18.34
Cherries,9.5,33.6,319.2
Watermelon,0.66,10.9,7.19
Apricots,3.71,32.300000000000004,119.83
Kale,5.02,16,80.32
Avocados,3.23,27.900000000000002,90.12
Coconuts,1.18,37.9,44.72
Corn,1.07,30.1,32.21
Coconuts,1.18,4.3,5.07
Orange,1.09,5.800000000000001,6.32
Brussels sprouts,1.65,37.6,62.04
Spinach,4.12,32.300000000000004,133.08
Fava beans,2.69,25.8,69.4
Watermelon,0.66,32.1,21.19
Lemon,1.29,7.5,9.68
Green peppers,1.89,5.9,11.15
Lemon,1.29,10.100000000000001,13.03
Ginger,5.13,36,184.68
Coconuts,1.18,2.5,2.95
Fava beans,2.69,33.300000000000004,89.58
Beets,1.51,22.700000000000003,34.28
Okra,2.26,17.6,39.78
Fava beans,2.69,11.100000000000001,29.86
Lettuce,1.88,26.8,50.38
Asparagus,2.49,39.800000000000004,99.1
Eggplant,2.32,38.400000000000006,89.09
Cherries,9.5,25.8,245.1
Bok choy,1.42,27.700000000000003,39.33
Beets,1.51,34.6,52.25
Brussels sprouts,1.65,13.4,22.11
Asparagus,2.49,28.900000000000002,71.96
Parsnips,2.27,11.4,25.88
Orange,1.09,15.9,17.33
Lime,1.06,9.4,9.96
Potatoes,0.86,27.700000000000003,23.82
Asparagus,2.49,20.5,51.05
Ginger,5.13,16.3,83.62
Tomatoes,3.16,13.600000000000001,42.98
Yellow peppers,2.87,7.7,22.1
Watermelon,0.66,24,15.84
Celery,3.07,33.4,102.54
Daikon,1.4,3.9000000000000004,5.46
Cucumber,1.07,9.1,9.74
Asparagus,2.49,20.900000000000002,52.04
Butternut squash,1.28,14.200000000000001,18.18
Daikon,1.4,12.100000000000001,16.94
Potatoes,0.86,34.9,30.01
Beets,1.51,13.700000000000001,20.69
Green cabbage,0.8,33.5,26.8
Red onion,0.78,33.7,26.29
Daikon,1.4,27.5,38.5
Grapes,2.63,30.700000000000003,80.74
Green beans,2.52,19.700000000000003,49.64
Brussels sprouts,1.65,9.8,16.17
Grapes,2.63,4.5,11.84
Lime,1.06,27.6,29.26
Strawberries,4.4,13.8,60.72
Green beans,2.52,36.2,91.22
Eggplant,2.32,27.3,63.34
Parsnips,2.27,16.5,37.46
Bok choy,1.42,6.7,9.51
Fava beans,2.69,0.8,2.15
Spinach,4.12,36.7,151.2
Papaya,1.34,18.3,24.52
Carrots,1.26,21.1,26.59
Bananas,0.86,29.900000000000002,25.71
Lettuce,1.88,34,63.92
Apricots,3.71,17.5,64.93
Green peppers,1.89,9.1,17.2
Cherries,9.5,12.600000000000001,119.7
Watermelon,0.66,14.100000000000001,9.31
Cucumber,1.07,24.900000000000002,26.64
Lime,1.06,16.6,17.6
Lime,1.06,23.400000000000002,24.8
Celery,3.07,27.8,85.35
Corn,1.07,12.100000000000001,12.95
Kale,5.02,39.5,198.29
Fava beans,2.69,36.1,97.11
Lettuce,1.88,17.900000000000002,33.65
Fava beans,2.69,22.900000000000002,61.6
Bok choy,1.42,17.6,24.99
Orange,1.09,3.7,4.03
Tomatoes,3.16,4,12.64
Spinach,4.12,7.7,31.72
Potatoes,0.86,16.400000000000002,14.1
Asparagus,2.49,17.8,44.32
Strawberries,4.4,28.200000000000003,124.08
Ginger,5.13,32.300000000000004,165.7
Papaya,1.34,30.200000000000003,40.47
Daikon,1.4,30.900000000000002,43.26
Red onion,0.78,40,31.2
Grapefruit,0.76,36.6,27.82
Corn,1.07,9.3,9.95
Butternut squash,1.28,23.900000000000002,30.59
Okra,2.26,31.6,71.42
Butternut squash,1.28,36.300000000000004,46.46
Asparagus,2.49,22.400000000000002,55.78
Watermelon,0.66,36.4,24.02
Lemon,1.29,12.600000000000001,16.25
Apricots,3.71,21.5,79.77
Carrots,1.26,5.6000000000000005,7.06
Garlic,1.19,12.600000000000001,14.99
Cherries,9.5,32.1,304.95
Green beans,2.52,9.200000000000001,23.18
Asparagus,2.49,22.8,56.77
Bok choy,1.42,17.900000000000002,25.42
Beets,1.51,16,24.16
Cherries,9.5,31.3,297.35
Grapefruit,0.76,11.100000000000001,8.44
Green cabbage,0.8,31.1,24.88
Fava beans,2.69,35.4,95.23
Apricots,3.71,13.100000000000001,48.6
Papaya,1.34,1.3,1.74
Garlic,1.19,11.700000000000001,13.92
Celery,3.07,0.9,2.76
Asparagus,2.49,23.6,58.76
Lettuce,1.88,15.600000000000001,29.33
Asparagus,2.49,6.2,15.44
Apples,1.88,25.5,47.94
Apricots,3.71,38.900000000000006,144.32
Carrots,1.26,25.1,31.63
Lettuce,1.88,9.8,18.42
Red onion,0.78,11.3,8.81
Corn,1.07,9.9,10.59
Daikon,1.4,37.800000000000004,52.92
Beets,1.51,31.1,46.96
Fava beans,2.69,21.3,57.3
Daikon,1.4,10.5,14.7
Avocados,3.23,22.6,73
Tomatoes,3.16,16.8,53.09
Red onion,0.78,23.400000000000002,18.25
Ginger,5.13,4.3,22.06
Strawberries,4.4,31.3,137.72
Green beans,2.52,19.700000000000003,49.64
Lettuce,1.88,29,54.52
Green peppers,1.89,15,28.35
Avocados,3.23,22,71.06
Okra,2.26,8.1,18.31
Celery,3.07,31.700000000000003,97.32
Strawberries,4.4,4.1000000000000005,18.04
Fava beans,2.69,25.3,68.06
Avocados,3.23,22.900000000000002,73.97
Daikon,1.4,31.900000000000002,44.66
Tomatoes,3.16,38.2,120.71
Grapefruit,0.76,15.4,11.7
Coconuts,1.18,5.9,6.96
Apples,1.88,5.300000000000001,9.96
Lemon,1.29,22,28.38
Green peppers,1.89,29.200000000000003,55.19
Avocados,3.23,33,106.59
Red onion,0.78,37.2,29.02
Tomatoes,3.16,17.3,54.67
Beets,1.51,4.7,7.1
Eggplant,2.32,3.1,7.19
Lettuce,1.88,9.1,17.11
Okra,2.26,14.9,33.67
Daikon,1.4,29.1,40.74
Lime,1.06,16.2,17.17
Avocados,3.23,13.600000000000001,43.93
Brussels sprouts,1.65,23.1,38.12
Garlic,1.19,29.3,34.87
Spinach,4.12,33.1,136.37
Bananas,0.86,24.200000000000003,20.81
Papaya,1.34,27.700000000000003,37.12
Grapes,2.63,32.4,85.21
Lemon,1.29,7.800000000000001,10.06
Bananas,0.86,12.100000000000001,10.41
Corn,1.07,8.1,8.67
Tomatoes,3.16,30.3,95.75
Eggplant,2.32,31.6,73.31
Lemon,1.29,29.200000000000003,37.67
Eggplant,2.32,20.8,48.26
Bok choy,1.42,4.4,6.25
Papaya,1.34,9.200000000000001,12.33
Daikon,1.4,31.1,43.54
Lemon,1.29,26.6,34.31
Spinach,4.12,10.100000000000001,41.61
Lettuce,1.88,2.3000000000000003,4.32
Avocados,3.23,31.8,102.71
Avocados,3.23,6.7,21.64
Beets,1.51,14.3,21.59
Yellow peppers,2.87,8.3,23.82
Kale,5.02,19.5,97.89
Grapes,2.63,8.200000000000001,21.57
Corn,1.07,20.3,21.72
Cucumber,1.07,34.4,36.81
Beets,1.51,25.6,38.66
Potatoes,0.86,32.4,27.86
Spinach,4.12,35.300000000000004,145.44
Ginger,5.13,20.400000000000002,104.65
Papaya,1.34,16.2,21.71
Watermelon,0.66,22,14.52
Yellow peppers,2.87,4.9,14.06
Daikon,1.4,37.7,52.78
Watermelon,0.66,29,19.14
Red onion,0.78,16.5,12.87
Yellow peppers,2.87,37.2,106.76
Strawberries,4.4,7.4,32.56
Potatoes,0.86,30.900000000000002,26.57
Apples,1.88,28.900000000000002,54.33
Garlic,1.19,34.4,40.94
Daikon,1.4,1.9000000000000001,2.66
Lime,1.06,21.400000000000002,22.68
Coconuts,1.18,0.8,0.94
Corn,1.07,17,18.19
Tomatoes,3.16,13.200000000000001,41.71
Yellow peppers,2.87,1.2000000000000002,3.44
Apples,1.88,11.8,22.18
Okra,2.26,25.200000000000003,56.95
Bok choy,1.42,3.8000000000000003,5.4
Ginger,5.13,10.5,53.87
Coconuts,1.18,30.5,35.99
Strawberries,4.4,21.5,94.6
Fava beans,2.69,31.200000000000003,83.93
Okra,2.26,28,63.28
Lemon,1.29,18.5,23.87
Green beans,2.52,23,57.96
Bananas,0.86,9.4,8.08
Orange,1.09,29.3,31.94
Butternut squash,1.28,9.1,11.65
Spinach,4.12,32.4,133.49
Strawberries,4.4,17.2,75.68
Corn,1.07,22.3,23.86
Red onion,0.78,39.6,30.89
Carrots,1.26,17.900000000000002,22.55
Grapefruit,0.76,7.5,5.7
Corn,1.07,26.900000000000002,28.78
Corn,1.07,37.7,40.34
Lemon,1.29,33.800000000000004,43.6
Daikon,1.4,37.2,52.08
Eggplant,2.32,35.300000000000004,81.9
Orange,1.09,37.9,41.31
Green peppers,1.89,20.3,38.37
Apples,1.88,15.200000000000001,28.58
Cucumber,1.07,35.9,38.41
Grapes,2.63,3,7.89
Corn,1.07,34.300000000000004,36.7
Asparagus,2.49,33,82.17
Grapes,2.63,36.6,96.26
Celery,3.07,1.4000000000000001,4.3
Potatoes,0.86,36.4,31.3
Lemon,1.29,19,24.51
Green beans,2.52,34.800000000000004,87.7
Lettuce,1.88,18.6,34.97
Red onion,0.78,29.6,23.09
Lemon,1.29,32.5,41.93
Apricots,3.71,20.400000000000002,75.68
Watermelon,0.66,4.5,2.97
Okra,2.26,35.7,80.68
Corn,1.07,10.600000000000001,11.34
Green peppers,1.89,30.700000000000003,58.02
Apples,1.88,31.200000000000003,58.66
Carrots,1.26,11,13.86
Lemon,1.29,17.8,22.96
Coconuts,1.18,15.600000000000001,18.41
Brussels sprouts,1.65,30.3,50
Orange,1.09,28.8,31.39
Apples,1.88,24.900000000000002,46.81
Corn,1.07,36.300000000000004,38.84
Avocados,3.23,32.9,106.27
Lime,1.06,14.100000000000001,14.95
Ginger,5.13,13.5,69.26
Grapefruit,0.76,28.6,21.74
Green peppers,1.89,17.1,32.32
Eggplant,2.32,3.7,8.58
Beets,1.51,36.300000000000004,54.81
Avocados,3.23,33.2,107.24
Lettuce,1.88,4.9,9.21
Asparagus,2.49,25.200000000000003,62.75
Celery,3.07,15,46.05
Bananas,0.86,27.200000000000003,23.39
Kale,5.02,30.200000000000003,151.6
Cucumber,1.07,10.200000000000001,10.91
Watermelon,0.66,14.5,9.57
Potatoes,0.86,19.8,17.03
Cherries,9.5,6,57
Spinach,4.12,37.300000000000004,153.68
Garlic,1.19,19.5,23.21
Lemon,1.29,13.4,17.29
Cucumber,1.07,14.3,15.3
Butternut squash,1.28,12,15.36
Tomatoes,3.16,2.2,6.95
Grapefruit,0.76,25.200000000000003,19.15
Garlic,1.19,24.5,29.16
Asparagus,2.49,35.300000000000004,87.9
Apricots,3.71,20.3,75.31
Spinach,4.12,16.6,68.39
Bananas,0.86,6.2,5.33
Strawberries,4.4,6.9,30.36
Tomatoes,3.16,33.4,105.54
Apricots,3.71,21.400000000000002,79.39
Tomatoes,3.16,7.6000000000000005,24.02
Spinach,4.12,27.8,114.54
Cucumber,1.07,10.9,11.66
Garlic,1.19,6.1000000000000005,7.26
Garlic,1.19,17.1,20.35
Garlic,1.19,21.900000000000002,26.06
Papaya,1.34,31.200000000000003,41.81
Tomatoes,3.16,10.9,34.44
Coconuts,1.18,22.5,26.55
Bok choy,1.42,17.5,24.85
Orange,1.09,13.100000000000001,14.28
Eggplant,2.32,17.400000000000002,40.37
Potatoes,0.86,31.900000000000002,27.43
Grapefruit,0.76,7.9,6
Lime,1.06,0.5,0.53
Orange,1.09,20.900000000000002,22.78
Bananas,0.86,16.5,14.19
Orange,1.09,33.2,36.19
Green peppers,1.89,13.700000000000001,25.89
Tomatoes,3.16,8,25.28
Lemon,1.29,34.4,44.38
Asparagus,2.49,15.100000000000001,37.6
Papaya,1.34,14.4,19.3
Lettuce,1.88,25,47
Watermelon,0.66,32.7,21.58
Okra,2.26,19.8,44.75
Lemon,1.29,26.6,34.31
Garlic,1.19,29.6,35.22
Watermelon,0.66,5.7,3.76
Avocados,3.23,29,93.67
Apricots,3.71,6.7,24.86
Cherries,9.5,10,95
Daikon,1.4,19.6,27.44
Strawberries,4.4,30.400000000000002,133.76
Orange,1.09,10.700000000000001,11.66
Brussels sprouts,1.65,23.400000000000002,38.61
Coconuts,1.18,20,23.6
Cherries,9.5,34.800000000000004,330.6
Green peppers,1.89,36.1,68.23
Red onion,0.78,33.2,25.9
Yellow peppers,2.87,33,94.71
Cherries,9.5,11.100000000000001,105.45
Parsnips,2.27,6.6000000000000005,14.98
Brussels sprouts,1.65,36.1,59.57
Bok choy,1.42,26.1,37.06
Fava beans,2.69,27.700000000000003,74.51
Avocados,3.23,23,74.29
Daikon,1.4,28,39.2
Kale,5.02,37.9,190.26
Apricots,3.71,12.9,47.86
Lettuce,1.88,10.3,19.36
Corn,1.07,9.600000000000001,10.27
Corn,1.07,25.5,27.29
Apples,1.88,17.1,32.15
Tomatoes,3.16,31.8,100.49
Lemon,1.29,25.6,33.02
Lime,1.06,9.200000000000001,9.75
Watermelon,0.66,1.1,0.73
Yellow peppers,2.87,30.6,87.82
Green peppers,1.89,2.3000000000000003,4.35
Butternut squash,1.28,21.8,27.9
Kale,5.02,36,180.72
Spinach,4.12,34.6,142.55
Kale,5.02,11.100000000000001,55.72
Green peppers,1.89,24.900000000000002,47.06
Butternut squash,1.28,5.300000000000001,6.78
Lemon,1.29,22.400000000000002,28.9
Cherries,9.5,34.800000000000004,330.6
Daikon,1.4,16.3,22.82
Grapes,2.63,19.400000000000002,51.02
Fava beans,2.69,1.6,4.3
Apricots,3.71,17,63.07
Apricots,3.71,22.6,83.85
Cherries,9.5,33.300000000000004,316.35
Celery,3.07,1.1,3.38
Potatoes,0.86,31.200000000000003,26.83
Kale,5.02,34.1,171.18
Daikon,1.4,14.5,20.3
Ginger,5.13,17.3,88.75
Lime,1.06,35.4,37.52
Yellow peppers,2.87,34.5,99.02
Strawberries,4.4,10.3,45.32
Green beans,2.52,32.800000000000004,82.66
Lime,1.06,22,23.32
Okra,2.26,22.400000000000002,50.62
Orange,1.09,9,9.81
Daikon,1.4,34.9,48.86
Green peppers,1.89,1.9000000000000001,3.59
Tomatoes,3.16,36.9,116.6
Potatoes,0.86,10.600000000000001,9.12
Corn,1.07,3.9000000000000004,4.17
Celery,3.07,27.8,85.35
Avocados,3.23,14.8,47.8
Bananas,0.86,15.3,13.16
Okra,2.26,35.4,80
Yellow peppers,2.87,17.5,50.23
Ginger,5.13,27.3,140.05
Red onion,0.78,24.900000000000002,19.42
Okra,2.26,34.800000000000004,78.65
Lettuce,1.88,4.2,7.9
Bananas,0.86,27.900000000000002,23.99
Avocados,3.23,6.2,20.03
Coconuts,1.18,31.1,36.7
Tomatoes,3.16,2.8000000000000003,8.85
Red onion,0.78,32.800000000000004,25.58
Cherries,9.5,4,38
Apricots,3.71,14.700000000000001,54.54
Lettuce,1.88,11.4,21.43
Celery,3.07,14.9,45.74
Fava beans,2.69,3.4000000000000004,9.15
Grapefruit,0.76,0.9,0.68
Spinach,4.12,4.1000000000000005,16.89
Green beans,2.52,8.700000000000001,21.92
Watermelon,0.66,32.300000000000004,21.32
Grapefruit,0.76,37.4,28.42
Asparagus,2.49,13.100000000000001,32.62
Lettuce,1.88,0.9,1.69
Green beans,2.52,27.3,68.8
Okra,2.26,18.900000000000002,42.71
Okra,2.26,25.400000000000002,57.4
Lemon,1.29,33.2,42.83
Orange,1.09,10.3,11.23
Butternut squash,1.28,17.400000000000002,22.27
Kale,5.02,38.900000000000006,195.28
Bok choy,1.42,14,19.88
Eggplant,2.32,1.1,2.55
Apricots,3.71,1.6,5.94
Apples,1.88,36.4,68.43
Grapefruit,0.76,7.300000000000001,5.55
Asparagus,2.49,23.8,59.26
Apricots,3.71,18.8,69.75
Lemon,1.29,11.100000000000001,14.32
Yellow peppers,2.87,34,97.58
Eggplant,2.32,22.200000000000003,51.5
Tomatoes,3.16,1.9000000000000001,6
Corn,1.07,6.4,6.85
Green peppers,1.89,36.9,69.74
Apricots,3.71,17.2,63.81
Green beans,2.52,10.600000000000001,26.71
Celery,3.07,7.2,22.1
Potatoes,0.86,32,27.52
Parsnips,2.27,36.5,82.86
Lettuce,1.88,13.3,25
Green cabbage,0.8,22,17.6
Grapefruit,0.76,3.8000000000000003,2.89
Avocados,3.23,8.1,26.16
Orange,1.09,13.3,14.5
Green peppers,1.89,38.2,72.2
Lime,1.06,20.900000000000002,22.15
Butternut squash,1.28,27.700000000000003,35.46
Strawberries,4.4,32.6,143.44
Corn,1.07,9.5,10.17
Potatoes,0.86,35.7,30.7
Okra,2.26,2.1,4.75
Papaya,1.34,6.5,8.71
Red onion,0.78,27.5,21.45
Yellow peppers,2.87,22.200000000000003,63.71
Fava beans,2.69,30.5,82.05
Okra,2.26,3.4000000000000004,7.68
